latitude,longitude,elevation
49.68161,5.82026,400
49.68176,5.82013,398
49.68223,5.81971,397
49.68245,5.81945,401
49.68262,5.81914,403
49.68201,5.81793,402
49.68252,5.81726,409
49.68272,5.81699,409
49.68277,5.81693,410
49.68295,5.81674,411
49.68322,5.81649,413
49.68332,5.81648,418
49.68338,5.81632,419
49.68366,5.8161,420
49.68375,5.81604,420
49.68385,5.81604,421
49.68388,5.81596,422
49.68394,5.81535,422
49.68406,5.81504,422
49.68427,5.81457,424
49.6843,5.81442,424
49.68431,5.81427,422
49.68443,5.81432,424
49.6846,5.8144,424
49.68462,5.81444,424
49.68469,5.8145,424
49.68487,5.81465,424
49.68497,5.81485,423
49.6851,5.81525,424
49.68522,5.81566,424
49.68577,5.8158,423
49.6858,5.81515,418
49.68573,5.81461,421
49.68599,5.81444,417
49.68603,5.81428,415
49.68602,5.81397,415
49.68604,5.81371,415
49.6861,5.81356,415
49.68638,5.81318,412
49.68656,5.8129,411
49.68665,5.81271,406
49.68719,5.81125,400
49.68726,5.81104,399
49.68723,5.81051,398
49.68722,5.81023,397
49.68759,5.81019,393
49.68774,5.80944,391
49.68783,5.80919,390
49.68809,5.80881,389
49.68893,5.80773,386
49.68926,5.80688,385
49.68937,5.80658,385
49.68974,5.8059,386
49.69,5.80549,384
49.6903,5.80513,385
49.69224,5.80325,377
49.69332,5.80212,368
49.69496,5.80037,363
49.69506,5.80009,362
49.69519,5.79928,361
49.69535,5.7987,361
49.69552,5.79834,360
49.69614,5.79746,359
49.69659,5.79665,358
49.69693,5.79589,360
49.6972,5.79545,361
49.6976,5.79518,365
49.69772,5.79512,364
49.6978,5.79505,364
49.69791,5.79482,364
49.69797,5.79462,364
49.69791,5.79324,363
49.69788,5.7927,363
49.69777,5.79199,364
49.69774,5.79182,365
49.69771,5.79174,366
49.69779,5.79153,366
49.69782,5.79141,367
49.69784,5.79119,367
49.69788,5.79068,368
49.69798,5.79013,369
49.69813,5.7896,369
49.69822,5.78911,370
49.69834,5.78813,373
49.6986,5.78662,376
49.69869,5.78629,377
49.69905,5.78562,376
49.69946,5.78487,375
49.70007,5.78353,368
49.70013,5.78335,365
49.70015,5.78305,365
49.70013,5.78243,362
49.70009,5.78187,362
49.70004,5.78134,360
49.69999,5.78112,360
49.70056,5.78102,360
49.70074,5.78091,360
49.70102,5.78047,361
49.70166,5.77933,363
49.7023,5.77838,366
49.70252,5.77805,367
49.70261,5.77779,367
49.70272,5.7771,367
49.70287,5.77621,368
49.70298,5.77579,370
49.70329,5.7752,373
49.70366,5.77445,374
49.70374,5.77414,376
49.70376,5.77384,376
49.70367,5.77373,376
49.70347,5.77333,379
49.70285,5.77198,381
49.70297,5.77192,381
49.70307,5.77172,385
49.7033,5.77086,393
49.70351,5.76999,399
49.70362,5.76969,400
49.70384,5.76924,404
49.70394,5.76902,404
49.70401,5.76876,405
49.70414,5.76808,410
49.70439,5.76658,415
49.70453,5.76598,416
49.70485,5.76473,424
49.70491,5.76464,423
49.70499,5.76461,422
49.70502,5.76454,422
49.7057,5.7632,430
49.70643,5.76177,436
49.7058,5.76186,435
49.70591,5.75984,441
49.70594,5.75958,441
49.70594,5.75918,443
49.70598,5.75787,445
49.70594,5.75617,444
49.70591,5.75604,444
49.70579,5.75566,443
49.70575,5.75545,441
49.70568,5.75509,443
49.70562,5.75491,443
49.7055,5.75472,443
49.70528,5.75392,446
49.70519,5.75365,444
49.7049,5.75296,440
49.70484,5.75263,439
49.7048,5.75225,437
49.70466,5.75175,434
49.70458,5.75145,436
49.70434,5.75068,433
49.70427,5.75051,433
49.70375,5.74949,429
49.70365,5.74914,426
49.70394,5.74925,428
49.70406,5.7493,429
49.70419,5.74894,431
49.70435,5.74887,432
49.70443,5.74885,432
49.70457,5.74871,432
49.70467,5.74857,429
49.70471,5.74843,427
49.70471,5.7481,425
49.70473,5.74755,419
49.70484,5.74681,415
49.70485,5.74613,411
49.70555,5.74625,411
49.70629,5.74632,408
49.70647,5.74476,399
49.70652,5.74413,395
49.70654,5.74373,394
49.70655,5.74364,394
49.70663,5.74312,392
49.70661,5.74294,391
49.70658,5.74215,387
49.70651,5.74179,383
49.70627,5.74154,381
49.70627,5.74125,380
49.7063,5.74095,378
49.70638,5.74042,376
49.7064,5.74022,377
49.70642,5.7397,374
49.70639,5.739,371
49.70627,5.73885,370
49.70706,5.73724,361
49.70721,5.73699,362
49.70739,5.7368,363
49.70765,5.73669,365
49.70824,5.73671,367
49.70823,5.73663,367
49.70819,5.73655,367
49.70811,5.73638,367
49.7081,5.73622,368
49.70813,5.73585,370
49.70818,5.73564,371
49.70822,5.73526,373
49.70822,5.73484,378
49.70821,5.73455,380
49.70825,5.73445,382
49.70834,5.73425,387
49.70829,5.7337,390
49.70829,5.73342,392
49.70839,5.73313,392
49.70851,5.7329,391
49.70862,5.73262,388
49.70875,5.73231,388
49.70885,5.73213,386
49.70899,5.73197,384
49.70912,5.73188,381
49.70918,5.73181,380
49.70881,5.73165,378
49.70835,5.7318,385
49.70815,5.73189,386
49.70769,5.732,386
49.70724,5.73213,386
49.70698,5.73229,387
49.70677,5.73224,385
49.7066,5.73217,384
49.7064,5.73209,383
49.70607,5.73199,383
49.70571,5.73188,384
49.70481,5.73154,385
49.70429,5.73131,385
49.70388,5.73106,380
49.70379,5.73095,379
49.70364,5.73081,379
49.70351,5.73076,378
49.70339,5.73072,375
49.70325,5.73067,371
49.70307,5.73066,370
49.70286,5.73069,370
49.70254,5.73063,366
49.70229,5.73075,360
49.70226,5.73031,360
49.70227,5.73004,359
49.70231,5.72969,359
49.7024,5.72949,361
49.70246,5.7294,363
49.70255,5.72931,362
49.70267,5.72926,360
49.70285,5.72926,360
49.7031,5.72928,362
49.70335,5.72929,368
49.70355,5.72925,364
49.70376,5.72915,363
49.70391,5.72904,363
49.70404,5.72887,362
49.70419,5.72862,361
49.70431,5.72838,357
49.70442,5.72823,357
49.70455,5.72808,356
49.70469,5.72797,357
49.70479,5.72784,357
49.70493,5.7276,355
49.70523,5.72697,355
49.7054,5.72658,353
49.70553,5.7264,353
49.70582,5.72629,355
49.70601,5.72623,355
49.70617,5.72615,355
49.70616,5.726,355
49.70607,5.72599,355
49.70558,5.72581,353
49.70545,5.7257,353
49.70535,5.72556,352
49.70522,5.72533,353
49.7051,5.72509,353
49.70487,5.72469,353
49.70477,5.72448,353
49.70442,5.72416,354
49.70408,5.72387,355
49.70388,5.72374,355
49.70365,5.72369,355
49.70328,5.72369,355
49.70264,5.72369,355
49.7022,5.72363,354
49.70195,5.72355,354
49.70167,5.72344,355
49.70153,5.72334,354
49.70142,5.72326,354
49.70118,5.72313,354
49.70099,5.72304,354
49.70069,5.72295,352
49.69985,5.72294,350
49.69961,5.72292,350
49.69939,5.72281,350
49.69925,5.72274,350
49.69908,5.72257,350
49.69898,5.72236,350
49.69885,5.72202,350
49.69872,5.72179,350
49.69856,5.72159,351
49.69827,5.72137,350
49.69794,5.7212,350
49.69773,5.72109,350
49.69731,5.72092,348
49.69697,5.72074,347
49.69681,5.72061,347
49.69673,5.72052,347
49.69661,5.72034,346
49.6965,5.72011,347
49.69636,5.71974,346
49.69621,5.71937,347
49.69595,5.71877,349
49.69583,5.71848,350
49.69577,5.71824,352
49.69574,5.71798,352
49.69571,5.71757,352
49.69567,5.71729,352
49.6956,5.7171,352
49.69548,5.71695,352
49.69517,5.71677,353
49.6946,5.7165,357
49.69449,5.71634,358
49.69447,5.71609,357
49.69452,5.7151,357
49.69456,5.7142,356
49.6945,5.71401,356
49.69435,5.7139,356
49.69408,5.71384,357
49.6937,5.71371,357
49.69326,5.71356,355
49.69297,5.71346,355
49.69282,5.71334,355
49.69272,5.71317,356
49.69264,5.71287,356
49.69258,5.71263,356
49.69247,5.71243,356
49.69236,5.71229,356
49.692,5.7119,356
49.69191,5.71184,356
49.69177,5.71186,355
49.69101,5.71229,354
49.69074,5.71236,352
49.68981,5.71257,349
49.68951,5.71265,348
49.68933,5.71276,348
49.68924,5.71264,348
49.68908,5.71238,347
49.68893,5.71238,347
49.68878,5.71238,346
49.68867,5.71235,346
49.68853,5.7122,346
49.68837,5.71198,346
49.68819,5.71173,344
49.68805,5.71157,344
49.68792,5.71137,343
49.68775,5.71115,343
49.68744,5.71076,343
49.6872,5.71049,343
49.68702,5.71029,344
49.68672,5.70997,344
49.68658,5.70984,346
49.68648,5.70987,346
49.68626,5.70986,346
49.68597,5.7099,346
49.68581,5.71001,346
49.68572,5.71013,347
49.68561,5.70998,348
49.68555,5.7099,348
49.6855,5.7095,348
49.68545,5.70856,348
49.68542,5.70768,347
49.68537,5.70706,346
49.68526,5.70587,343
49.68526,5.70527,342
49.68529,5.70458,341
49.68534,5.70346,341
49.68536,5.70287,341
49.68536,5.70214,342
49.6854,5.70179,343
49.68545,5.70066,345
49.68545,5.69998,347
49.68543,5.69953,347
49.68537,5.69907,348
49.68523,5.6981,350
49.6851,5.69705,352
49.68496,5.69621,353
49.68497,5.69605,353
49.6848,5.69421,351
49.68459,5.69238,351
49.6845,5.69154,352
49.68444,5.69073,353
49.68441,5.6902,353
49.68431,5.68856,348
49.68427,5.68821,347
49.68424,5.68797,347
49.68418,5.68774,347
49.68403,5.68733,346
49.68395,5.68699,345
49.68391,5.68673,344
49.68392,5.68617,344
49.68395,5.68542,342
49.68394,5.68506,342
49.68384,5.6842,341
49.68353,5.68257,341
49.68343,5.68196,341
49.68336,5.68129,342
49.68335,5.68075,343
49.68333,5.68002,345
49.6832,5.67923,347
49.6831,5.6786,347
49.68292,5.67755,348
49.68243,5.67361,345
49.68222,5.67196,344
49.68207,5.67088,348
49.68197,5.67024,350
49.68168,5.66823,357
49.68159,5.66613,356
49.68141,5.66494,359
49.68126,5.66403,361
49.68121,5.6637,361
49.68122,5.66357,361
49.68113,5.6629,361
49.68103,5.66206,360
49.68063,5.65887,357
49.68049,5.65777,355
49.68046,5.65755,355
49.68041,5.65663,354
49.68036,5.65598,354
49.6803,5.65547,354
49.68019,5.65483,353
49.68004,5.65385,352
49.67996,5.65301,352
49.67994,5.65268,352
49.67995,5.65225,352
49.67993,5.652,352
49.67986,5.65147,351
49.67969,5.6505,350
49.67947,5.6491,349
49.67948,5.64873,349
49.67946,5.64848,348
49.67943,5.64824,348
49.67936,5.64803,348
49.67922,5.64765,346
49.67922,5.64746,346
49.67929,5.64733,346
49.67941,5.64723,346
49.67947,5.64713,346
49.67948,5.64694,345
49.67946,5.64677,345
49.67938,5.64653,345
49.67925,5.64621,344
49.67915,5.64583,344
49.67899,5.64459,344
49.67887,5.6438,345
49.67879,5.64321,344
49.67869,5.64219,345
49.67858,5.64095,344
49.67851,5.64014,344
49.67842,5.63937,345
49.67837,5.63897,345
49.6783,5.63816,346
49.67822,5.63762,346
49.67814,5.63727,346
49.67807,5.63691,346
49.678,5.63645,345
49.67795,5.63613,344
49.67772,5.63516,342
49.67758,5.63438,341
49.67754,5.63399,341
49.67755,5.63354,342
49.6776,5.63294,343
49.67761,5.63261,344
49.67759,5.63231,345
49.67754,5.63196,345
49.67742,5.63128,346
49.67726,5.63031,347
49.67719,5.62968,348
49.6771,5.62867,349
49.677,5.62762,348
49.67691,5.62665,347
49.67691,5.6257,345
49.6769,5.6255,345
49.67688,5.62534,344
49.67681,5.62509,344
49.67665,5.62467,344
49.6765,5.62428,342
49.67644,5.62407,342
49.67642,5.6238,342
49.67641,5.62332,341
49.6764,5.62302,341
49.67637,5.6226,341
49.67632,5.62167,342
49.67628,5.62121,342
49.6762,5.62042,345
49.67617,5.62008,346
49.67608,5.6194,348
49.67604,5.61918,348
49.676,5.61901,348
49.67571,5.61902,347
49.67546,5.61908,347
49.6755,5.61813,348
49.67552,5.61744,348
49.67554,5.61691,348
49.67556,5.61648,349
49.67556,5.61608,349
49.67556,5.61558,350
49.67554,5.6149,350
49.6755,5.61446,350
49.6754,5.61362,348
49.67527,5.61252,345
49.67512,5.61123,342
49.67501,5.61054,339
49.6749,5.61024,337
49.67475,5.60991,336
49.67449,5.60949,335
49.67436,5.60929,334
49.67428,5.60916,334
49.67449,5.60885,334
49.67453,5.60867,335
49.67457,5.60829,335
49.67455,5.60758,336
49.67452,5.6071,337
49.67439,5.6067,338
49.67444,5.60654,338
49.67451,5.60554,336
49.67458,5.60521,335
49.67453,5.60491,334
49.67433,5.6039,333
49.67415,5.60295,333
49.67395,5.60168,335
49.67361,5.60181,334
49.6734,5.60187,335
49.67325,5.60191,336
49.67322,5.6016,337
49.67309,5.60163,337
49.67287,5.60163,337
49.67248,5.60183,336
49.67198,5.60202,336
49.67195,5.60156,337
49.67192,5.60099,338
49.67189,5.60006,339
49.67165,5.60006,339
49.67162,5.60007,339
49.67154,5.60012,339
49.67121,5.60013,339
49.67089,5.60004,340
49.67081,5.60005,341
49.6707,5.60008,341
49.6694,5.60005,340
49.669,5.59998,340
49.6686,5.59993,340
49.66834,5.59995,340
49.66814,5.60001,340
49.66795,5.60008,339
49.66773,5.60025,340
49.66768,5.60007,340
49.66768,5.59982,340
49.66766,5.59929,340
49.66764,5.59828,342
49.66479,5.59723,341
49.66466,5.59717,341
49.66433,5.59697,340
49.66421,5.5969,340
49.66413,5.59676,340
49.66406,5.59683,340
49.66391,5.59676,340
49.66395,5.59666,340
49.66413,5.59625,339
49.66436,5.5958,339
49.66444,5.59563,339
49.66453,5.59516,340
49.66457,5.59478,340
49.66456,5.59457,340
49.66436,5.59368,342
49.66414,5.59286,343
49.66405,5.59199,341
49.66398,5.5916,341
49.66373,5.59043,339
49.66361,5.58979,341
49.66351,5.58955,341
49.66336,5.58933,342
49.66319,5.58902,343
49.66299,5.5887,343
49.66291,5.58851,343
49.66285,5.58828,343
49.66284,5.58799,343
49.66283,5.58749,344
49.6628,5.58738,344
49.66256,5.58695,346
49.66245,5.58671,347
49.66232,5.58612,349
49.66186,5.58411,350
49.66181,5.58393,350
49.66171,5.58381,350
49.66151,5.58304,349
49.66128,5.58224,350
49.66083,5.5809,352
49.66069,5.58033,352
49.66038,5.57915,350
49.66024,5.57851,349
49.66012,5.57799,348
49.66003,5.57761,347
49.66002,5.57728,347
49.66001,5.57684,346
49.66004,5.57665,346
49.66045,5.57513,343
49.6605,5.5748,343
49.66048,5.57461,343
49.66044,5.57444,343
49.66038,5.57432,343
49.65995,5.57384,343
49.65988,5.57367,344
49.65964,5.57378,344
49.65916,5.57352,344
49.65916,5.57313,344
49.65914,5.57277,346
49.65894,5.57283,346
49.65839,5.57159,346
49.65827,5.57144,347
49.6581,5.57134,347
49.65794,5.57121,347
49.65746,5.57042,348
49.65726,5.57014,348
49.65697,5.56983,348
49.65654,5.5694,348
49.65587,5.56872,347
49.65531,5.56814,347
49.65506,5.56787,347
49.6548,5.56756,347
49.65448,5.5671,348
49.65371,5.56595,352
49.65354,5.56561,351
49.65347,5.56529,351
49.65343,5.56506,351
49.65335,5.56476,351
49.65339,5.56323,349
49.65335,5.56278,349
49.65336,5.56245,348
49.65343,5.56208,348
49.6536,5.56138,348
49.65369,5.56095,349
49.65371,5.56078,349
49.6537,5.56057,349
49.65341,5.55886,350
49.65315,5.55724,347
49.65311,5.55676,347
49.65313,5.55617,347
49.65321,5.55539,348
49.6534,5.55358,350
49.65343,5.55314,351
49.65305,5.55287,351
49.65311,5.55283,351
49.65319,5.55276,352
49.65333,5.55257,353
49.65337,5.55245,353
49.65337,5.55233,353
49.65334,5.55213,353
49.65318,5.5513,352
49.65312,5.55116,352
49.65295,5.55087,353
49.65284,5.55063,353
49.65271,5.55039,353
49.65259,5.55009,353
49.65246,5.54969,352
49.65238,5.54949,353
49.65233,5.54936,354
49.65225,5.54921,354
49.65213,5.54903,354
49.6519,5.54871,354
49.65184,5.54861,355
49.65179,5.54846,356
49.65173,5.54825,356
49.65169,5.54795,357
49.65161,5.54749,357
49.65153,5.54688,357
49.65149,5.54665,357
49.65145,5.54645,357
49.6514,5.54627,357
49.65132,5.54608,357
49.6512,5.54584,358
49.6511,5.54565,358
49.65099,5.5454,358
49.65075,5.54483,358
49.65062,5.54448,358
49.65057,5.5443,359
49.65054,5.54409,359
49.65055,5.54356,360
49.65057,5.5434,360
49.65056,5.54301,360
49.65054,5.54284,360
49.65051,5.54268,360
49.65045,5.5425,360
49.65051,5.54242,360
49.65054,5.54225,360
49.65056,5.54209,360
49.65057,5.54179,360
49.65057,5.54154,360
49.65059,5.5412,360
49.6506,5.54072,361
49.65059,5.54043,361
49.65057,5.54021,362
49.65056,5.54006,362
49.65048,5.53973,362
49.65038,5.53948,362
49.65032,5.53929,363
49.65027,5.53914,363
49.65015,5.53878,363
49.65006,5.53816,365
49.64965,5.53631,371
49.64961,5.53612,373
49.64951,5.53563,375
49.64934,5.53412,381
49.64934,5.53377,381
49.64939,5.53344,380
49.64944,5.53321,380
49.64944,5.53297,379
49.64947,5.53263,378
49.64949,5.53236,378
49.64985,5.53186,377
49.64994,5.53161,377
49.64998,5.53137,377
49.64999,5.53108,375
49.65001,5.53095,375
49.65005,5.53082,375
49.65004,5.53071,375
49.65002,5.53062,374
49.65027,5.53048,373
49.65112,5.53008,368
49.65186,5.5297,366
49.65237,5.52945,365
49.65355,5.52885,362
49.65414,5.52856,363
49.65482,5.52822,364
49.65504,5.5281,364
49.65587,5.52768,361
49.65665,5.5273,357
49.65687,5.52718,357
49.65678,5.52645,359
49.65673,5.52556,361
49.65668,5.52481,362
49.65664,5.52413,363
49.65659,5.52367,363
49.65654,5.52302,362
49.65649,5.52203,363
49.65639,5.52128,363
49.65633,5.52113,363
49.65622,5.52095,363
49.65615,5.52077,364
49.65607,5.52049,364
49.65604,5.52007,364
49.656,5.51921,366
49.65596,5.51876,367
49.65593,5.5186,368
