latitude,longitude,elevation
51.27809,4.05118,1
51.27828,4.05111,2
51.27827,4.05092,2
51.27826,4.05025,1
51.27826,4.04961,1
51.2783,4.04952,1
51.27834,4.04949,1
51.27876,4.04947,2
51.279,4.04945,2
51.27905,4.04947,2
51.27908,4.04953,2
51.2791,4.04958,2
51.27913,4.04969,2
51.27922,4.04977,2
51.27936,4.04983,2
51.27947,4.04982,3
51.27986,4.04959,3
51.28025,4.04935,3
51.28085,4.04896,2
51.2809,4.04891,2
51.28092,4.04881,2
51.28087,4.04853,2
51.2809,4.04843,2
51.28116,4.04812,1
51.28124,4.04805,1
51.28161,4.04836,2
51.28165,4.04843,2
51.28162,4.04878,2
51.28163,4.04887,2
51.28168,4.0489,2
51.28246,4.0491,4
51.28295,4.04923,4
51.28321,4.04928,4
51.28332,4.04943,4
51.28331,4.04949,4
51.2833,4.04958,4
51.28294,4.04957,4
51.28267,4.04973,4
51.28247,4.05002,5
51.28243,4.05009,5
51.28273,4.05072,5
51.28294,4.05114,4
51.28311,4.05124,4
51.28323,4.05125,4
51.28336,4.05123,4
51.28362,4.05119,4
51.28366,4.05115,4
51.28372,4.05112,4
51.28385,4.05134,4
51.28418,4.05195,4
51.28427,4.05202,4
51.28431,4.05204,4
51.28515,4.05042,4
51.28496,4.04971,4
51.28481,4.04931,4
51.28487,4.04925,4
51.28542,4.04867,4
51.286,4.04805,3
51.2867,4.04734,3
51.28686,4.04717,3
51.28733,4.04673,2
51.28776,4.04636,2
51.28818,4.04594,1
51.28834,4.04576,1
51.28842,4.04569,1
51.28879,4.04515,2
51.28899,4.04488,2
51.2891,4.04467,2
51.2892,4.04444,2
51.2892,4.04397,2
51.28943,4.04325,2
51.28912,4.0432,1
51.28897,4.0431,1
51.28832,4.04257,0
51.28771,4.04207,0
51.28721,4.04166,0
51.28538,4.04003,0
51.28531,4.03977,0
51.28544,4.03935,0
51.28564,4.0387,0
51.28815,4.03432,0
51.28912,4.03335,0
51.29059,4.03188,1
51.29068,4.03173,1
51.29058,4.03159,1
51.29021,4.0311,1
51.28982,4.03056,1
51.28916,4.02967,1
51.28912,4.02944,1
51.28911,4.02921,1
51.28945,4.02762,1
51.28967,4.02658,1
51.29056,4.02242,1
51.29122,4.0193,1
51.29216,4.01501,1
51.29272,4.01242,1
51.29205,4.01231,2
51.2916,4.01225,1
51.29092,4.01217,1
51.29034,4.01212,1
51.28973,4.01202,1
51.28915,4.01196,0
51.28819,4.01184,1
51.28755,4.01173,1
51.28732,4.01168,2
51.28702,4.01163,2
51.28613,4.0116,1
51.28543,4.01132,0
51.28529,4.01127,0
51.28497,4.01127,0
51.28469,4.01131,0
51.28407,4.0113,0
51.28386,4.01132,0
51.28382,4.01137,0
51.28366,4.01106,0
51.28353,4.01093,0
51.28323,4.01072,0
51.28285,4.01044,0
51.28274,4.01027,0
51.28232,4.00958,0
51.28217,4.00937,0
51.28185,4.00889,0
51.28136,4.00822,0
51.28106,4.00779,0
51.28071,4.00729,0
51.28057,4.00707,1
51.28055,4.00697,1
51.28055,4.00679,1
51.28055,4.00673,1
51.28065,4.00672,1
51.28202,4.00652,1
51.28302,4.00636,1
51.28309,4.00635,1
51.28315,4.00634,1
51.28298,4.00494,1
51.28357,4.00482,2
51.28371,4.00477,2
51.2839,4.0047,3
51.28384,4.00435,3
51.28366,4.00345,3
51.28361,4.00319,3
51.28359,4.00304,3
51.28354,4.00279,2
51.28349,4.00256,2
51.28334,4.00167,2
51.28327,4.00128,1
51.28325,4.00103,1
51.28326,4.0005,1
51.28327,4.0003,1
51.28328,3.99998,1
51.28333,3.99948,2
51.28358,3.99672,5
51.28362,3.99652,6
51.28366,3.99649,6
51.28384,3.99656,6
51.28387,3.99626,7
51.28395,3.99513,7
51.28356,3.99474,5
51.28319,3.99404,2
51.28307,3.99367,2
51.28305,3.99359,2
51.28302,3.99321,1
51.28307,3.99224,0
51.28319,3.99181,1
51.28326,3.99158,0
51.28339,3.99133,1
51.28341,3.99116,1
51.28345,3.99104,1
51.2837,3.9907,0
51.28401,3.99035,1
51.28401,3.99015,1
51.284,3.9901,1
51.28394,3.98983,1
51.28384,3.98926,1
51.2837,3.98938,1
51.28313,3.98988,1
51.28209,3.99081,1
51.281,3.99175,2
51.28092,3.99185,2
51.28083,3.99171,2
51.27982,3.99256,1
51.27938,3.99294,1
51.27941,3.99312,1
51.27947,3.99329,1
51.2795,3.99341,1
51.27931,3.99361,1
51.27912,3.99323,1
51.2784,3.99165,1
51.2772,3.98915,1
51.27708,3.98889,1
51.277,3.9888,1
51.27626,3.98844,1
51.27585,3.98818,1
51.27505,3.9875,1
51.27419,3.98675,0
51.27349,3.9861,0
51.27313,3.98574,0
51.27293,3.98555,1
51.27241,3.98461,0
51.2723,3.98432,0
51.27217,3.98397,0
51.27207,3.98374,0
51.27176,3.98314,0
51.2714,3.98243,0
51.27105,3.98175,0
51.27084,3.98126,1
51.27075,3.98085,1
51.27067,3.98042,1
51.27034,3.97866,1
51.2703,3.97843,1
51.27023,3.97834,1
51.26942,3.97617,0
51.26926,3.9756,0
51.2691,3.97505,0
51.26882,3.97338,1
51.26843,3.97083,0
51.26827,3.96972,1
51.26811,3.96855,1
51.26757,3.96499,3
51.26753,3.96471,2
51.26751,3.96432,2
51.26742,3.96317,2
51.26744,3.96287,1
51.26719,3.963,1
51.266,3.96341,1
51.26451,3.96391,1
51.26426,3.964,1
51.26354,3.96424,0
51.26295,3.96445,0
51.26271,3.96452,0
51.26193,3.96479,0
51.26058,3.96525,1
51.26087,3.96746,1
51.26094,3.96802,1
51.26128,3.96937,1
51.26135,3.97009,1
51.26122,3.97007,1
51.26118,3.96997,1
51.26111,3.96995,2
51.261,3.96996,2
51.2609,3.96892,1
51.26076,3.9689,1
51.26075,3.96923,2
51.26071,3.96928,2
51.26081,3.96966,2
51.25968,3.97021,2
51.25965,3.97028,2
51.25967,3.97094,2
51.25961,3.97108,2
51.25951,3.97112,2
51.25896,3.97124,2
51.25855,3.97139,2
51.25748,3.9716,0
51.25629,3.97182,0
51.25511,3.97204,0
51.25447,3.97216,0
51.25407,3.97225,0
51.25336,3.97237,0
51.25324,3.97239,0
51.25306,3.97243,0
51.25275,3.97252,0
51.2527,3.97252,0
51.25252,3.97244,0
51.25226,3.97248,0
51.25203,3.97257,0
51.25189,3.97278,1
51.2518,3.97327,1
51.25172,3.9734,1
51.25149,3.97373,2
51.25068,3.97497,1
51.24967,3.9764,0
51.24848,3.97808,1
51.24822,3.97846,1
51.24726,3.9803,1
51.24654,3.98167,1
51.2453,3.98404,0
51.24375,3.98481,1
51.24214,3.98559,2
51.24201,3.98569,2
51.24169,3.98543,2
51.24126,3.98501,1
51.24062,3.98442,0
51.24038,3.98415,1
