latitude,longitude,elevation
51.1427,3.38857,10
51.14241,3.38873,9
51.1419,3.38892,9
51.14172,3.38897,9
51.14039,3.38911,9
51.14003,3.38922,9
51.13962,3.38939,9
51.13894,3.38949,8
51.13836,3.38953,8
51.13801,3.38951,8
51.13569,3.38865,8
51.13514,3.38829,8
51.13311,3.38677,9
51.13305,3.38662,9
51.13226,3.38512,6
51.13164,3.38358,7
51.13162,3.38342,6
51.13167,3.38332,7
51.1318,3.38316,7
51.13186,3.38304,7
51.13192,3.38282,7
51.13194,3.38258,7
51.13187,3.38089,8
51.13187,3.38057,8
51.13195,3.3798,8
51.13199,3.37944,8
51.13214,3.37881,8
51.13239,3.37794,8
51.13261,3.37699,9
51.13275,3.37626,9
51.13288,3.37494,9
51.13288,3.37444,9
51.13286,3.37368,9
51.13288,3.37354,9
51.13116,3.37135,9
51.13085,3.37091,9
51.13076,3.37088,9
51.13062,3.37094,8
51.1298,3.37119,9
51.12979,3.37094,8
51.12974,3.37088,8
51.12971,3.37079,9
51.12968,3.37073,9
51.12961,3.37089,9
51.12903,3.37183,9
51.12837,3.37272,10
51.12793,3.37326,10
51.12725,3.37407,9
51.12651,3.37493,8
51.12608,3.3754,8
51.12604,3.37552,8
51.1261,3.3757,7
51.12657,3.37508,8
51.12668,3.37527,8
51.12662,3.37545,8
51.12655,3.37552,8
51.12652,3.37543,8
51.12583,3.37368,9
51.12591,3.3736,9
51.12602,3.37388,9
51.12604,3.37385,9
51.12614,3.37373,9
51.12653,3.37323,9
51.12713,3.37253,10
51.12727,3.37231,10
51.12735,3.37215,10
51.12739,3.3719,11
51.12744,3.37113,11
51.12744,3.37113,11
51.12744,3.37113,11
51.12752,3.36971,12
51.12754,3.36941,12
51.12761,3.36842,11
51.12737,3.36842,12
51.12647,3.36856,12
51.12551,3.36873,12
51.12537,3.3687,12
51.12515,3.36859,12
51.12375,3.3677,11
51.12363,3.36766,11
51.12352,3.36764,11
51.122,3.36771,12
51.12165,3.36772,14
51.12026,3.36776,15
51.12001,3.36791,15
51.11962,3.36823,16
51.11919,3.36855,15
51.11886,3.36879,15
51.11865,3.36889,14
51.11851,3.36892,13
51.11545,3.36762,11
51.11532,3.36762,11
51.1151,3.36762,11
51.11457,3.36792,11
51.11437,3.36775,11
51.11424,3.36765,11
51.11418,3.36766,11
51.11394,3.36846,11
51.11387,3.36854,11
51.11387,3.36838,11
51.11409,3.36773,12
51.11425,3.36735,11
51.11442,3.36718,12
51.11453,3.36699,11
51.11524,3.36494,12
51.11559,3.36389,12
51.1163,3.36186,12
51.11647,3.36137,12
51.11706,3.3598,13
51.11804,3.35702,13
51.11897,3.35444,11
51.11888,3.35421,11
51.11815,3.35216,11
51.11793,3.35165,11
51.11735,3.35159,11
51.11709,3.3515,11
51.11699,3.35151,11
51.11687,3.35155,11
51.11638,3.35176,12
51.11553,3.35219,12
51.11458,3.35271,14
51.11445,3.35277,14
51.11429,3.35278,15
51.11416,3.35278,15
51.11385,3.35265,15
51.11232,3.35162,15
51.112,3.35106,14
51.11145,3.34973,14
51.11118,3.34928,14
51.11021,3.34777,15
